"StartDate","EndDate","Status","IPAddress","Progress","Duration..in.seconds.","Finished","RecordedDate","ResponseId","RecipientLastName","RecipientFirstName","RecipientEmail","ExternalReference","LocationLatitude","LocationLongitude","DistributionChannel","UserLanguage","att_2","consent","att_3","att_4","comp_1","pref_you","pref_you_explain","comp_2","comp_3","safety_you_1","trust_you_1","pref_others","pref_others_explain","safety_others_1","trust_others_1","license","ai_knowledge_1","rid","age","gender","hhi","ethnicity","hispanic","education","political_party","region","zip","FL_8_DO","av_you_DO","av_others_DO"
"4/8/23 12:55","4/8/23 12:56",0,1,100,51,1,"4/8/23 12:56","R_31uYZNrJ4mlXEJD",NA,NA,NA,NA,1,1,"anonymous","EN",6,1,4,2,NA,NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,"6431b89b-0191-7e4b-4fd4-841bc6aab5fa",32,2,1,2,1,2,1,3,1,"","",""
"4/8/23 12:55","4/8/23 12:56",0,2,100,44,1,"4/8/23 12:56","R_1oChYFLPLxvkx2i",NA,NA,NA,NA,2,2,"anonymous","EN",8,1,4,2,NA,NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,"6431b8a3-ef94-8baa-2f5e-0257f4d851b7",29,2,9,16,2,4,3,4,2,"","",""
"4/8/23 12:56","4/8/23 12:56",0,3,100,38,1,"4/8/23 12:56","R_3jTzi2MpcF7CV7a",NA,NA,NA,NA,3,3,"anonymous","EN",6,1,4,2,NA,NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,"6431b8b7-d288-3407-753c-21fa8297db7d",41,2,14,16,15,-3105,8,4,3,"","",""
"4/8/23 12:55","4/8/23 12:56",0,4,100,77,1,"4/8/23 12:56","R_1l5Mj7L9LSzpRu6",NA,NA,NA,NA,4,4,"anonymous","EN",6,1,4,2,NA,NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,"6431b875-7d30-30b3-0385-f5481edd5e4a",51,2,1,1,1,1,2,3,4,"","",""
"4/8/23 12:56","4/8/23 12:56",0,5,100,31,1,"4/8/23 12:56","R_3kuiPNSoN8SkFJp",NA,NA,NA,NA,5,5,"anonymous","EN",8,1,4,2,NA,NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,"6431b8a5-3295-c133-4129-ddd7828c4839",26,1,4,2,1,2,1,3,5,"","",""
"4/8/23 12:56","4/8/23 12:56",0,6,100,26,1,"4/8/23 12:56","R_1ILgSdLlgpZrodU",NA,NA,NA,NA,6,6,"anonymous","EN",8,1,4,2,NA,NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,"6431b8a7-abb9-6852-0c15-460431be06e1",36,1,2,3,1,6,2,2,6,"","",""
"4/8/23 12:56","4/8/23 12:56",0,7,100,58,1,"4/8/23 12:56","R_1mEJxOX4Yx8UDMx",NA,NA,NA,NA,7,7,"anonymous","EN",10,1,4,1,NA,NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,"6431b879-8500-187f-db86-605c26b5320b",40,2,2,1,1,4,4,2,7,"","",""
"4/8/23 12:56","4/8/23 12:56",0,8,100,31,1,"4/8/23 12:57","R_3LaGN5W6lUmZ8Q1",NA,NA,NA,NA,8,8,"anonymous","EN",6,1,4,2,NA,NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,"6431b8ca-2de9-5ff1-c5b5-41b4361433be",20,1,2,2,1,2,7,1,8,"","",""
"4/8/23 12:56","4/8/23 12:57",0,9,100,24,1,"4/8/23 12:57","R_1pXz5VXiT5vybVs",NA,NA,NA,NA,9,9,"anonymous","EN",9,1,2,2,NA,NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,"6431b8ba-f821-68d5-220a-6d0d22bba6e8",50,2,1,1,1,1,10,2,9,"","",""
"4/8/23 12:56","4/8/23 12:57",0,10,100,52,1,"4/8/23 12:57","R_3GwCDFUbb06Hzm7",NA,NA,NA,NA,10,10,"anonymous","EN",6,1,4,2,NA,NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,"6431b89f-2f1d-2087-448d-76949e984584",45,2,5,1,1,1,10,3,10,"","",""
"4/8/23 12:56","4/8/23 12:57",0,11,100,62,1,"4/8/23 12:57","R_10SHwuk9ABTuDJA",NA,NA,NA,NA,11,11,"anonymous","EN",8,1,4,2,NA,NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,"6431b877-8710-33b9-7f9d-2efe4c20d3b1",21,2,1,2,1,2,4,3,11,"","",""
"4/8/23 12:56","4/8/23 12:57",0,12,100,42,1,"4/8/23 12:57","R_Twwg6JYBQWwt9ct",NA,NA,NA,NA,12,12,"anonymous","EN",9,1,4,2,NA,NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,"6431b8b8-1824-bd1a-3523-4457b8a2e46f",32,2,11,1,1,2,10,3,12,"","",""
"4/8/23 12:55","4/8/23 12:57",0,13,100,95,1,"4/8/23 12:57","R_2ZBRpEpcX9wue0C",NA,NA,NA,NA,13,13,"anonymous","EN",6,1,4,1,1,NA,"",2,2,NA,NA,5,"You can save yourself ",9,84,1,52,"6431b86d-5db1-d04e-6ad4-ce83b0ab3d41",20,2,10,15,1,4,1,3,13,"FL_53","","scale_others|trust_others|safety_others"
"4/8/23 12:56","4/8/23 12:57",0,14,100,36,1,"4/8/23 12:57","R_10BfWrU5dayLJTP",NA,NA,NA,NA,14,14,"anonymous","EN",7,1,4,2,NA,NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,"6431b8d4-f7e5-4b34-85b1-6cedd98d7306",21,1,10,1,1,6,10,2,14,"","",""
