"StartDate","EndDate","Status","IPAddress","Progress","Duration..in.seconds.","Finished","RecordedDate","ResponseId","RecipientLastName","RecipientFirstName","RecipientEmail","ExternalReference","LocationLatitude","LocationLongitude","DistributionChannel","UserLanguage","consent","Q142","att_1","att_2","comp_0","pref_you","pref_you_explain","comp_2","comp_3","safety_you_1","trust_you_1","pref_others","pref_others_explain","safety_others_1","trust_others_1","gender","gender_4_TEXT","ethnicity","ethnicity_6_TEXT","age","education","education_8_TEXT","license","ai_knowledge_1","PROLIFIC_PID","FL_8_DO"
"11/16/22 9:43","11/16/22 9:45",0,1,100,173,1,"11/16/22 9:45","R_2zXXUwizsqwovnF",NA,NA,NA,NA,1,1,"anonymous","EN",1,1,4,1,1,2,"I don't trust automatic cars.",2,4,86,0,NA,"",NA,NA,2,"",3,"","29",4,NA,1,50,NA,"FL_51"
"11/16/22 9:45","11/16/22 9:47",0,2,100,137,1,"11/16/22 9:47","R_1jlWZF2GMCGBLHb",NA,NA,NA,NA,2,2,"anonymous","EN",1,2,4,1,1,NA,"",2,4,NA,NA,4,"Automation can help remove human error, but sacrificing all human input leaves room for machine error.  I would think a balance would be safest. ",26,58,2,"",3,"","26",3,NA,1,74,NA,"FL_53"
"11/16/22 9:54","11/16/22 10:00",0,3,100,357,1,"11/16/22 10:00","R_3EgWnCnXnvU7oHR",NA,NA,NA,NA,3,3,"anonymous","EN",1,3,4,2,1,4,"Because I can be more of a passive driver. And not have to worry about my surrounding. While still having a little control of the overall driving experience ",2,4,64,32,NA,"",NA,NA,2,"",1,"","20",3,NA,1,37,NA,"FL_51"
"11/16/22 9:59","11/16/22 10:02",0,4,100,151,1,"11/16/22 10:02","R_3emlSYHyKxNCNWY",NA,NA,NA,NA,4,4,"anonymous","EN",1,4,4,1,1,NA,"",2,4,NA,NA,2,"It takes care of the basics, but leaves humans in control ",37,20,2,"",3,"","45",5,NA,1,33,NA,"FL_53"
"11/16/22 10:03","11/16/22 10:05",0,5,100,166,1,"11/16/22 10:05","R_D6mc3dT4S2XYWeB",NA,NA,NA,NA,5,5,"anonymous","EN",1,5,4,1,1,NA,"",2,4,NA,NA,6,"If we all had automatic cars, the roads would be safer and organized ",99,90,2,"",3,"","28",4,NA,1,30,NA,"FL_53"
"11/16/22 10:03","11/16/22 10:05",0,6,100,123,1,"11/16/22 10:05","R_26ezScdl2eBVklm",NA,NA,NA,NA,6,6,"anonymous","EN",1,6,4,1,1,5,"I'd still like a little bit of control while the technology is new just to be cautious.",2,4,0,73,NA,"",NA,NA,1,"",3,"","26",4,NA,1,27,NA,"FL_51"
"11/16/22 10:07","11/16/22 10:10",0,7,100,222,1,"11/16/22 10:10","R_Dc7B7Fa4Xqdno6l",NA,NA,NA,NA,7,7,"anonymous","EN",1,7,4,1,1,NA,"",2,4,NA,NA,2,"I don't think most people would trust automation. ",20,65,1,"",4,"","25",3,NA,1,70,NA,"FL_53"
"11/16/22 10:09","11/16/22 10:12",0,8,100,152,1,"11/16/22 10:12","R_3PugV7fjRWZuRS4",NA,NA,NA,NA,8,8,"anonymous","EN",1,8,4,1,1,4,"I would prefer to still have some level of control over the vehicle. ",2,4,70,40,NA,"",NA,NA,1,"",3,"","32",4,NA,1,60,NA,"FL_51"
"11/16/22 10:12","11/16/22 10:16",0,9,100,282,1,"11/16/22 10:16","R_2150DgFbbBUJ2lI",NA,NA,NA,NA,9,9,"anonymous","EN",1,9,4,2,1,4,"seems to be the best choice",2,4,41,40,NA,"",NA,NA,4,"63",1,"","63",3,NA,1,19,NA,"FL_51"
"11/16/22 10:14","11/16/22 10:16",0,10,100,139,1,"11/16/22 10:16","R_1qXsYWali0Td7g6",NA,NA,NA,NA,10,10,"anonymous","EN",1,10,4,1,1,4,"I have never personally experienced any level of self-driving car, so I would be a little nervous to jump straight to full automation.",2,4,19,73,NA,"",NA,NA,2,"",3,"","29",4,NA,1,20,NA,"FL_51"
"11/16/22 10:13","11/16/22 10:17",0,11,100,209,1,"11/16/22 10:17","R_1LbsfNdgZkcjC8K",NA,NA,NA,NA,11,11,"anonymous","EN",1,11,4,1,1,NA,"",2,4,NA,NA,4,"i like self driving cars but prefer to have a human take over in cases of emergency",50,59,2,"",3,"","32",4,NA,1,50,NA,"FL_53"
"11/16/22 10:13","11/16/22 10:17",0,12,100,231,1,"11/16/22 10:17","R_BPOEfa5W9NpvTkl",NA,NA,NA,NA,12,12,"anonymous","EN",1,12,4,1,1,NA,"",3,4,NA,NA,5,"I think should be some human interaction ",31,50,2,"",1,"","39",3,NA,1,43,NA,"FL_53"
"11/16/22 10:16","11/16/22 10:18",0,13,100,153,1,"11/16/22 10:18","R_1f1MyK9QFruodbr",NA,NA,NA,NA,13,13,"anonymous","EN",1,13,4,1,1,NA,"",2,4,NA,NA,6,"If the previous information is true, it is safer for other drivers to be automated.",30,69,1,"",3,"","29",4,NA,1,36,NA,"FL_53"
"11/16/22 10:17","11/16/22 10:19",0,14,100,107,1,"11/16/22 10:19","R_2qlaWBEKD0Jah6H",NA,NA,NA,NA,14,14,"anonymous","EN",1,14,4,1,1,NA,"",2,4,NA,NA,4,"I still think ppl should be aware and able to override a system",30,42,2,"",2,"","30",4,NA,1,59,NA,"FL_53"
"11/16/22 10:16","11/16/22 10:19",0,15,100,185,1,"11/16/22 10:19","R_1exwCrxqM6oc2u3",NA,NA,NA,NA,15,15,"anonymous","EN",1,15,4,2,1,5,"To ensure safety for myself, but also have some control",2,4,28,68,NA,"",NA,NA,1,"",3,"","31",3,NA,1,64,NA,"FL_51"
"11/16/22 10:17","11/16/22 10:20",0,16,100,155,1,"11/16/22 10:20","R_2pQ3ElX7aMrqjnP",NA,NA,NA,NA,16,16,"anonymous","EN",1,16,4,2,1,2,"You could have the option to switch",1,4,49,47,NA,"",NA,NA,2,"",4,"","32",2,NA,1,35,NA,"FL_51"
"11/16/22 10:18","11/16/22 10:22",0,17,100,231,1,"11/16/22 10:22","R_265fr3cln7R90oZ",NA,NA,NA,NA,17,17,"anonymous","EN",1,17,4,1,1,4,"Seems to give the best variety of options",2,4,22,43,NA,"",NA,NA,1,"",3,"","28",1,NA,2,14,NA,"FL_51"
"11/16/22 10:21","11/16/22 10:23",0,18,100,137,1,"11/16/22 10:23","R_VOJDkBiav37WYPT",NA,NA,NA,NA,18,18,"anonymous","EN",1,18,4,1,1,5,"I chose this level because I want to still maintain some control of the vehicle while I'm driving. ",2,4,50,50,NA,"",NA,NA,2,"",3,"","22",4,NA,1,30,NA,"FL_51"
"11/16/22 10:22","11/16/22 10:24",0,19,100,129,1,"11/16/22 10:24","R_1C8XgCrEoH0RMSt",NA,NA,NA,NA,19,19,"anonymous","EN",1,19,4,1,1,NA,"",2,4,NA,NA,4,"Humans should have some control in case of technological error.",38,44,2,"",3,"","23",4,NA,1,50,NA,"FL_53"
"11/16/22 10:22","11/16/22 10:24",0,20,100,120,1,"11/16/22 10:24","R_1o5TPJZLoucvKY8",NA,NA,NA,NA,20,20,"anonymous","EN",1,20,4,1,1,NA,"",2,4,NA,NA,6,"It controls the most ",33,65,3,"",3,"","24",4,NA,1,59,NA,"FL_53"
"11/16/22 10:22","11/16/22 10:24",0,21,100,143,1,"11/16/22 10:24","R_2bIzQ6lixwrhUUO",NA,NA,NA,NA,21,21,"anonymous","EN",1,21,4,1,1,4,"It is a good in-between.",2,4,30,77,NA,"",NA,NA,2,"",2,"","21",3,NA,2,33,NA,"FL_51"
"11/16/22 10:22","11/16/22 10:25",0,22,100,144,1,"11/16/22 10:25","R_28CEuAinC3U8KUA",NA,NA,NA,NA,22,22,"anonymous","EN",1,22,4,1,1,2,"I like driving, So I want to experience the full extent of driving with a driving system to cover my faults.",2,4,60,40,NA,"",NA,NA,1,"",2,"","34",4,NA,1,70,NA,"FL_51"
"11/16/22 10:19","11/16/22 10:25",0,23,100,318,1,"11/16/22 10:25","R_poYcTF54FZoRlrH",NA,NA,NA,NA,23,23,"anonymous","EN",1,23,4,1,1,NA,"",2,4,NA,NA,2,"I think that until all safety issues have been fully vetted, tested and provided to buyers, I think that there may be some things on the fringes that an autonomous vehicle may do well but I prefer to control my own driving.",70,30,1,"",2,"","48",5,NA,1,30,NA,"FL_53"
"11/16/22 10:22","11/16/22 10:25",0,24,100,150,1,"11/16/22 10:25","R_1EX97OqZXS4durj",NA,NA,NA,NA,24,24,"anonymous","EN",1,24,4,1,1,NA,"",2,4,NA,NA,6,"They safe option with machines in control only works if everyone is using it.",0,0,1,"",3,"","28",2,NA,1,74,NA,"FL_53"
"11/16/22 10:22","11/16/22 10:25",0,25,100,151,1,"11/16/22 10:25","R_vPOGjLwbgcF1fIl",NA,NA,NA,NA,25,25,"anonymous","EN",1,25,4,1,1,NA,"",2,4,NA,NA,5,"I think that it is important for there to be the ability for human autonomy in driving in case systems are faulty",30,76,1,"",3,"","26",5,NA,1,29,NA,"FL_53"
"11/16/22 10:22","11/16/22 10:25",0,26,100,218,1,"11/16/22 10:25","R_31HQeg5rwZwoNlF",NA,NA,NA,NA,26,26,"anonymous","EN",1,26,4,1,1,1,"I prefer to be in control of my vehicle",2,4,100,0,NA,"",NA,NA,2,"",3,"","26",3,NA,1,54,NA,"FL_51"
"11/16/22 10:23","11/16/22 10:25",0,27,100,134,1,"11/16/22 10:25","R_u835kF1UE0O5321",NA,NA,NA,NA,27,27,"anonymous","EN",1,27,4,1,1,4,"I still want to have some control over the car, so I think 4 is a proper way of sharing the driving abilities.",2,4,60,57,NA,"",NA,NA,1,"",3,"","36",4,NA,1,19,NA,"FL_51"
"11/16/22 10:23","11/16/22 10:26",0,28,100,153,1,"11/16/22 10:26","R_1NDDrbpEx7zlvUe",NA,NA,NA,NA,28,28,"anonymous","EN",1,28,4,1,1,NA,"",2,4,NA,NA,5,"there still needs to be some human connnection for very specific situations",33,69,1,"",2,"","26",4,NA,1,60,NA,"FL_53"
"11/16/22 10:23","11/16/22 10:26",0,29,100,199,1,"11/16/22 10:26","R_2dGehm5C3VWUWzU",NA,NA,NA,NA,29,29,"anonymous","EN",1,29,4,1,1,4,"still having a sense of control and not as scary",2,4,30,64,NA,"",NA,NA,2,"",3,"","23",3,NA,2,57,NA,"FL_51"
"11/16/22 10:24","11/16/22 10:26",0,30,100,147,1,"11/16/22 10:26","R_0v7QEMrc9FfHzy1",NA,NA,NA,NA,30,30,"anonymous","EN",1,30,4,1,1,NA,"",2,4,NA,NA,2,"I think the tech is too new and not trustworthy",62,81,1,"",3,"","46",1,NA,1,56,NA,"FL_53"
"11/16/22 10:16","11/16/22 10:26",0,31,100,615,1,"11/16/22 10:26","R_3eqrdqLSeavqiSs",NA,NA,NA,NA,31,31,"anonymous","EN",1,31,4,1,1,NA,"",2,4,NA,NA,4,"I chose 4 because it’s a good balance or human and technology.",47,58,2,"",4,"","19",1,NA,1,58,NA,"FL_53"
"11/16/22 10:23","11/16/22 10:27",0,32,100,211,1,"11/16/22 10:27","R_UAzziIk47lJ3v8Z",NA,NA,NA,NA,32,32,"anonymous","EN",1,32,1,1,1,4,"I seen reports of automatic driving car being involved in crash and do not see the technology as good enough yet",2,4,30,42,NA,"",NA,NA,1,"",2,"","37",4,NA,2,15,NA,"FL_51"
"11/16/22 10:23","11/16/22 10:27",0,33,100,197,1,"11/16/22 10:27","R_2UbcIlZU57RGQ6Z",NA,NA,NA,NA,33,33,"anonymous","EN",1,33,4,1,1,NA,"",2,4,NA,NA,4,"I think the technology is capable of doing the things listed in level 4 but not quite there for the dynamic driving features yet",43,52,1,"",3,"","30",4,NA,1,40,NA,"FL_53"
"11/16/22 10:24","11/16/22 10:27",0,34,100,189,1,"11/16/22 10:27","R_1LzzTQZHRXpwkJl",NA,NA,NA,NA,34,34,"anonymous","EN",1,34,4,1,1,NA,"",2,4,NA,NA,4,"Because the technology isn't there yet for a Level 6. I would need to see years of Level 6 automation before I'd be comfortable with myself or other drivers using it.",50,65,1,"",2,"","40",4,NA,1,60,NA,"FL_53"
"11/16/22 10:24","11/16/22 10:27",0,35,100,208,1,"11/16/22 10:27","R_325ZySDKTOfd0yF",NA,NA,NA,NA,35,35,"anonymous","EN",1,35,4,1,1,5,"I like that the drving system control everything else so that the human can focus on all driving dynamics",2,4,60,39,NA,"",NA,NA,2,"",1,"","19",3,NA,1,31,NA,"FL_51"
"11/16/22 10:25","11/16/22 10:27",0,36,100,176,1,"11/16/22 10:27","R_2bTRFRbqfiq4JDd",NA,NA,NA,NA,36,36,"anonymous","EN",1,36,4,1,1,2,"I am interested in automation but i would not want to heavily rely on it",2,4,29,35,NA,"",NA,NA,4,"agender",1,"","21",3,NA,1,13,NA,"FL_51"
"11/16/22 10:24","11/16/22 10:28",0,37,100,225,1,"11/16/22 10:28","R_yIQhPZMNz1kLeut",NA,NA,NA,NA,37,37,"anonymous","EN",1,37,4,1,1,2,"I don't think the technology for self driving vehicles is far enough along yet to have any confidence buying a fully automated vehicle.",2,4,70,0,NA,"",NA,NA,1,"",3,"","40",1,NA,1,65,NA,"FL_51"
"11/16/22 10:25","11/16/22 10:28",0,38,100,187,1,"11/16/22 10:28","R_1SRF0kRKTb7m0i5",NA,NA,NA,NA,38,38,"anonymous","EN",1,38,4,1,1,NA,"",2,4,NA,NA,5,"I think the machine should have most of the control, but still the human should have some say.",30,71,1,"",4,"","28",4,NA,1,66,NA,"FL_53"
"11/16/22 10:25","11/16/22 10:28",0,39,100,188,1,"11/16/22 10:28","R_xaYb1dJYV5VzvRn",NA,NA,NA,NA,39,39,"anonymous","EN",1,39,4,1,1,3,"I like to maintain control but also have some self driving capability",2,4,71,31,NA,"",NA,NA,1,"",3,"","31",4,NA,1,54,NA,"FL_51"
"11/16/22 10:26","11/16/22 10:28",0,40,100,150,1,"11/16/22 10:28","R_2ZW9NVdh4VkkHOx",NA,NA,NA,NA,40,40,"anonymous","EN",1,40,4,1,1,6,"I hate driving. ",2,4,0,100,NA,"",NA,NA,2,"",3,"","20",3,NA,1,26,NA,"FL_51"
"11/16/22 10:25","11/16/22 10:28",0,41,100,226,1,"11/16/22 10:28","R_3NRiJPhxSrHr18G",NA,NA,NA,NA,41,41,"anonymous","EN",1,41,4,2,1,1,"I dont trust automated anything I was a nuclear refueler worked hand in hand with automation",2,4,100,19,NA,"",NA,NA,2,"",3,"","65",3,NA,2,84,NA,"FL_51"
"11/16/22 10:24","11/16/22 10:29",0,42,100,253,1,"11/16/22 10:29","R_CgkuOESoDUPzDcB",NA,NA,NA,NA,42,42,"anonymous","EN",1,42,4,1,1,NA,"",2,4,NA,NA,5,"I don't think everything can be replaced by AI, but humans can become way better drivers using it. ",50,50,2,"",3,"","24",2,NA,1,10,NA,"FL_53"
"11/16/22 10:24","11/16/22 10:29",0,43,100,337,1,"11/16/22 10:29","R_2BeVZJTSniAoiOp",NA,NA,NA,NA,43,43,"anonymous","EN",1,43,4,1,1,6,"I want all levels of automation but then be able to select specific automation for different driving conditions if necessary.",2,4,35,70,NA,"",NA,NA,2,"",2,"","43",4,NA,1,30,NA,"FL_51"
