StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,consent,Q142,att_1,att_2,comp_0,pref_you,pref_you_explain,comp_2,comp_3,safety_you_1,trust_you_1,pref_others,pref_others_explain,safety_others_1,trust_others_1,gender,gender_4_TEXT,ethnicity,ethnicity_6_TEXT,age,education,education_8_TEXT,license,ai_knowledge_1,PROLIFIC_PID,FL_8_DO
11/16/22 9:43,11/16/22 9:45,0,97.87.8.98,100,173,1,11/16/22 9:45,R_2zXXUwizsqwovnF,,,,,44.5228,-89.5583,anonymous,EN,1,5dc738cb3f045552ce2cad52,4,1,1,2,I don't trust automatic cars.,2,4,86,0,,,,,2,,3,,29,4,,1,50,,FL_51
11/16/22 9:45,11/16/22 9:47,0,159.250.54.234,100,137,1,11/16/22 9:47,R_1jlWZF2GMCGBLHb,,,,,41.8436,-79.1726,anonymous,EN,1,6000cfb6be1cd0204ed257c7,4,1,1,,,2,4,,,4,"Automation can help remove human error, but sacrificing all human input leaves room for machine error.  I would think a balance would be safest. ",26,58,2,,3,,26,3,,1,74,,FL_53
11/16/22 9:54,11/16/22 10:00,0,136.32.142.66,100,357,1,11/16/22 10:00,R_3EgWnCnXnvU7oHR,,,,,38.9442,-94.2897,anonymous,EN,1,610075fa5484c42a0afefc8c,4,2,1,4,Because I can be more of a passive driver. And not have to worry about my surrounding. While still having a little control of the overall driving experience ,2,4,64,32,,,,,2,,1,,20,3,,1,37,,FL_51
11/16/22 9:59,11/16/22 10:02,0,72.185.210.217,100,151,1,11/16/22 10:02,R_3emlSYHyKxNCNWY,,,,,28.0303,-82.7816,anonymous,EN,1,5af5e1f733b0ee00011e9bdd,4,1,1,,,2,4,,,2,"It takes care of the basics, but leaves humans in control ",37,20,2,,3,,45,5,,1,33,,FL_53
11/16/22 10:03,11/16/22 10:05,0,68.3.41.101,100,166,1,11/16/22 10:05,R_D6mc3dT4S2XYWeB,,,,,33.5038,-112.0253,anonymous,EN,1,6110ae0070c014a099ee9d25,4,1,1,,,2,4,,,6,"If we all had automatic cars, the roads would be safer and organized ",99,90,2,,3,,28,4,,1,30,,FL_53
11/16/22 10:03,11/16/22 10:05,0,174.240.114.53,100,123,1,11/16/22 10:05,R_26ezScdl2eBVklm,,,,,42.587,-83.2334,anonymous,EN,1,5c2d3ffcff91f40001f46581,4,1,1,5,I'd still like a little bit of control while the technology is new just to be cautious.,2,4,0,73,,,,,1,,3,,26,4,,1,27,,FL_51
11/16/22 10:07,11/16/22 10:10,0,45.51.107.202,100,222,1,11/16/22 10:10,R_Dc7B7Fa4Xqdno6l,,,,,34.2666,-118.7643,anonymous,EN,1,633c74ad6178784ed5b52104,4,1,1,,,2,4,,,2,I don't think most people would trust automation. ,20,65,1,,4,,25,3,,1,70,,FL_53
11/16/22 10:09,11/16/22 10:12,0,68.79.89.21,100,152,1,11/16/22 10:12,R_3PugV7fjRWZuRS4,,,,,38.7262,-90.4471,anonymous,EN,1,6361c5ac7f5b07ed1bdf586a,4,1,1,4,I would prefer to still have some level of control over the vehicle. ,2,4,70,40,,,,,1,,3,,32,4,,1,60,,FL_51
11/16/22 10:12,11/16/22 10:16,0,75.133.121.134,100,282,1,11/16/22 10:16,R_2150DgFbbBUJ2lI,,,,,41.465,-73.398,anonymous,EN,1,637397c04a5f681a549e960a,4,2,1,4,seems to be the best choice,2,4,41,40,,,,,4,63,1,,63,3,,1,19,,FL_51
11/16/22 10:14,11/16/22 10:16,0,97.80.154.177,100,139,1,11/16/22 10:16,R_1qXsYWali0Td7g6,,,,,34.2576,-83.7732,anonymous,EN,1,630ab58fb3a4751f829426a9,4,1,1,4,"I have never personally experienced any level of self-driving car, so I would be a little nervous to jump straight to full automation.",2,4,19,73,,,,,2,,3,,29,4,,1,20,,FL_51
