"StartDate","EndDate","Status","IPAddress","Progress","Duration..in.seconds.","Finished","RecordedDate","ResponseId","RecipientLastName","RecipientFirstName","RecipientEmail","ExternalReference","LocationLatitude","LocationLongitude","DistributionChannel","UserLanguage","consent","att_1","att_2","comp_0","pref_you","pref_you_explain","purchase_you_5","comp_2","comp_3","safety_you_1","safety_AV_1_1","trust_you_1","trust_AV_1_1","identity_you_1","skills_you_1","control_you_1","pref_others","pref_others_explain","purchase_others_5","safety_others_1","safety_AV_2_1","trust_others_1","trust_AV_2_1","identity_others_1","skills_others_1","control_others_1","gender","gender_4_TEXT","ethnicity","ethnicity_6_TEXT","age","education","education_8_TEXT","license","dr_history_1","ai_knowledge_1","workerID","hitID","assignmentID","FL_8_DO","av_you_DO","mediators_you_DO","av_others_DO","mediators_others_DO"
"10/8/23 19:47","10/8/23 19:49",0,1,100,121,1,"10/8/23 19:49","R_6K05AiH3TbZFLXj",NA,NA,NA,NA,1,1,"anonymous","EN",1,4,1,1,NA,"",NA,2,4,NA,NA,NA,NA,NA,NA,NA,6,"It is clearly the safest overall for everyone.",100,23,100,25,100,33,37,31,1,"",1,"",34,5,"",2,0,62,1,1,1,"FL_53","","","scale_others|safety_AV_2|trust_AV_2|trust_others|safety_others","agree2|control_others|identity_others|skills_others"
"10/8/23 19:47","10/8/23 19:50",0,2,100,168,1,"10/8/23 19:50","R_82eAGMpCE8hrEaZ",NA,NA,NA,NA,2,2,"anonymous","EN",1,4,1,1,6,"Because I Would like to be able to sleep or read while I am traveling long distances.",95,2,4,91,96,85,96,0,100,50,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,1,"",3,"",44,3,"",1,28,15,2,2,2,"FL_51","scale_you|trust_you|safety_AV_1|trust_AV_1|safety_you","agree|skills_you|control_you|identity_you","",""
"10/8/23 19:48","10/8/23 19:50",0,3,100,123,1,"10/8/23 19:50","R_31yndE0GVIefHbs",NA,NA,NA,NA,3,3,"anonymous","EN",1,4,1,1,6,"It is the most automated and requires the less manual driving. ",95,1,4,64,50,50,50,62,61,69,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,2,"",3,"",33,5,"",1,29,15,3,3,3,"FL_51","scale_you|trust_AV_1|trust_you|safety_AV_1|safety_you","agree|control_you|identity_you|skills_you","",""
"10/8/23 19:47","10/8/23 19:51",0,4,100,215,1,"10/8/23 19:51","R_1jq3GEyN633xTW3",NA,NA,NA,NA,4,4,"anonymous","EN",1,4,1,1,6,"I'm putting my faith in the driver assistant because I don't know how to drive, so I would let it drive for me.",80,2,4,80,70,80,90,0,90,50,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,1,"",5,"",29,3,"",2,0,10,4,4,4,"FL_51","scale_you|safety_you|trust_you|trust_AV_1|safety_AV_1","agree|skills_you|control_you|identity_you","",""
"10/8/23 19:49","10/8/23 19:51",0,5,100,140,1,"10/8/23 19:51","R_1nPKzRLzzpKQolU",NA,NA,NA,NA,5,5,"anonymous","EN",1,4,1,1,NA,"",NA,2,4,NA,NA,NA,NA,NA,NA,NA,4,"both sides may work better",59,43,54,60,73,32,88,74,3,"",3,"",33,4,"",1,3,30,5,5,5,"FL_53","","","scale_others|trust_AV_2|trust_others|safety_AV_2|safety_others","agree2|identity_others|control_others|skills_others"
"10/8/23 19:50","10/8/23 19:51",0,6,100,71,1,"10/8/23 19:51","R_1HdX6FKvOFeuEDI",NA,NA,NA,NA,6,6,"anonymous","EN",1,4,1,1,NA,"",NA,2,4,NA,NA,NA,NA,NA,NA,NA,6,"Machines are smarter.",100,96,68,81,78,88,69,70,1,"",3,"",33,4,"",1,14,65,6,6,6,"FL_53","","","scale_others|safety_others|trust_AV_2|safety_AV_2|trust_others","agree2|identity_others|skills_others|control_others"
"10/8/23 19:48","10/8/23 19:52",0,7,100,188,1,"10/8/23 19:52","R_2XiisoNn4pBryu7",NA,NA,NA,NA,7,7,"anonymous","EN",1,4,1,1,NA,"",NA,2,4,NA,NA,NA,NA,NA,NA,NA,1,"I don't trust automated driving",0,50,25,50,25,25,50,50,2,"",3,"",36,5,"",1,15,25,7,7,7,"FL_53","","","scale_others|safety_others|trust_others|trust_AV_2|safety_AV_2","agree2|identity_others|skills_others|control_others"
"10/8/23 19:48","10/8/23 19:52",0,8,100,241,1,"10/8/23 19:52","R_3nIUIkYAJnqs447",NA,NA,NA,NA,8,8,"anonymous","EN",1,4,1,1,NA,"",NA,2,4,NA,NA,NA,NA,NA,NA,NA,5,"Mostly machine with a human element to fall back on. ",60,70,50,75,65,40,100,100,1,"",3,"",42,3,"",1,26,20,8,8,8,"FL_53","","","scale_others|safety_others|safety_AV_2|trust_AV_2|trust_others","agree2|skills_others|identity_others|control_others"
"10/8/23 19:48","10/8/23 19:52",0,9,100,289,1,"10/8/23 19:52","R_2S7aMuxn4RfSQ65",NA,NA,NA,NA,9,9,"anonymous","EN",1,4,1,1,NA,"",NA,2,4,NA,NA,NA,NA,NA,NA,NA,6,"I dont trust human judgement.",100,41,88,50,99,74,55,32,1,"",5,"",32,4,"",1,14,11,9,9,9,"FL_53","","","scale_others|trust_AV_2|trust_others|safety_AV_2|safety_others","agree2|skills_others|control_others|identity_others"
"10/8/23 19:48","10/8/23 19:53",0,10,100,293,1,"10/8/23 19:53","R_2arGfO2RGVgraFh",NA,NA,NA,NA,10,10,"anonymous","EN",1,4,2,1,1,"I like driving manually at all times.",100,2,4,100,72,100,10,89,100,100,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,1,"",3,"",38,1,"",1,22,66,10,10,10,"FL_51","scale_you|trust_AV_1|safety_you|safety_AV_1|trust_you","agree|control_you|skills_you|identity_you","",""
