StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,consent,att_1,att_2,comp_0,pref_you,pref_you_explain,purchase_you_5,comp_2,comp_3,safety_you_1,safety_AV_1_1,trust_you_1,trust_AV_1_1,identity_you_1,skills_you_1,control_you_1,pref_others,pref_others_explain,purchase_others_5,safety_others_1,safety_AV_2_1,trust_others_1,trust_AV_2_1,identity_others_1,skills_others_1,control_others_1,gender,gender_4_TEXT,ethnicity,ethnicity_6_TEXT,age,education,education_8_TEXT,license,dr_history_1,ai_knowledge_1,workerID,hitID,assignmentID,FL_8_DO,av_you_DO,mediators_you_DO,av_others_DO,mediators_others_DO
10/8/23 19:47,10/8/23 19:49,0,68.228.229.61,100,121,1,10/8/23 19:49,R_6K05AiH3TbZFLXj,,,,,33.4475,-112.0866,anonymous,EN,1,4,1,1,,,,2,4,,,,,,,,6,It is clearly the safest overall for everyone.,100,23,100,25,100,33,37,31,1,,1,,34,5,,2,0,62,A3CH1Z6J9R38G9,3OB6JN3A9QLMCP2XBZAC8Y70PL3RM3,33JKGHPFYDQ4JB7Y8UYWOYYJ6DPMN6,FL_53,,,scale_others|safety_AV_2|trust_AV_2|trust_others|safety_others,agree2|control_others|identity_others|skills_others
10/8/23 19:47,10/8/23 19:50,0,73.44.45.39,100,168,1,10/8/23 19:50,R_82eAGMpCE8hrEaZ,,,,,41.8907,-87.7908,anonymous,EN,1,4,1,1,6,Because I Would like to be able to sleep or read while I am traveling long distances.,95,2,4,91,96,85,96,0,100,50,,,,,,,,,,,1,,3,,44,3,,1,28,15,A12702RT8H45H8,3RZS0FBRWK6ORQARLIC90729UPBPCR,3LUY3GC630WL1TCOK39Z956OB3VP7U,FL_51,scale_you|trust_you|safety_AV_1|trust_AV_1|safety_you,agree|skills_you|control_you|identity_you,,
10/8/23 19:48,10/8/23 19:50,0,172.58.81.63,100,123,1,10/8/23 19:50,R_31yndE0GVIefHbs,,,,,44.9534,-93.3842,anonymous,EN,1,4,1,1,6,It is the most automated and requires the less manual driving. ,95,1,4,64,50,50,50,62,61,69,,,,,,,,,,,2,,3,,33,5,,1,29,15,A217E1EMJSYBON,33QQ60S6ASEHP3N7QOIJFCN7TH6U0Z,3NJM2BJS4X2RDA7KBKHAPRY2CENCPB,FL_51,scale_you|trust_AV_1|trust_you|safety_AV_1|safety_you,agree|control_you|identity_you|skills_you,,
10/8/23 19:47,10/8/23 19:51,0,72.199.126.88,100,215,1,10/8/23 19:51,R_1jq3GEyN633xTW3,,,,,32.7404,-117.1355,anonymous,EN,1,4,1,1,6,"I'm putting my faith in the driver assistant because I don't know how to drive, so I would let it drive for me.",80,2,4,80,70,80,90,0,90,50,,,,,,,,,,,1,,5,,29,3,,2,0,10,ADIXVUPICNIY4,32CAVSKPCELHWS8PM7MJTH6HY9CU12,3J88R45B2HUFG8IF2GDX34JCDWAPXP,FL_51,scale_you|safety_you|trust_you|trust_AV_1|safety_AV_1,agree|skills_you|control_you|identity_you,,
10/8/23 19:49,10/8/23 19:51,0,24.250.172.28,100,140,1,10/8/23 19:51,R_1nPKzRLzzpKQolU,,,,,29.6467,-82.3284,anonymous,EN,1,4,1,1,,,,2,4,,,,,,,,4,both sides may work better,59,43,54,60,73,32,88,74,3,,3,,33,4,,1,3,30,A27VK38SRSSHV3,3511RHPADVA267KCBN9X8LSBPGDRL1,3ZWFC4W1UV3JSZ79FEB02SJKA92RFS,FL_53,,,scale_others|trust_AV_2|trust_others|safety_AV_2|safety_others,agree2|identity_others|control_others|skills_others
10/8/23 19:50,10/8/23 19:51,0,47.189.244.144,100,71,1,10/8/23 19:51,R_1HdX6FKvOFeuEDI,,,,,33.0563,-96.7341,anonymous,EN,1,4,1,1,,,,2,4,,,,,,,,6,Machines are smarter.,100,96,68,81,78,88,69,70,1,,3,,33,4,,1,14,65,A3DG8M8G0L4DNZ,3MA5N0ATTC7WUXJGPH72GKNDSVNWK6,3ATTHHXXWBKNZMVBPLNDU7I0RIGIX7,FL_53,,,scale_others|safety_others|trust_AV_2|safety_AV_2|trust_others,agree2|identity_others|skills_others|control_others
10/8/23 19:48,10/8/23 19:52,0,98.255.94.30,100,188,1,10/8/23 19:52,R_2XiisoNn4pBryu7,,,,,38.581,-121.4939,anonymous,EN,1,4,1,1,,,,2,4,,,,,,,,1,I don't trust automated driving,0,50,25,50,25,25,50,50,2,,3,,36,5,,1,15,25,A3IGFK1YNA4H9O,3DA79LNS59RY6I7F96ASCEZCDFK3TD,3KRVW3HTZOH1ZOZ3GQFINS8PTCXSMO,FL_53,,,scale_others|safety_others|trust_others|trust_AV_2|safety_AV_2,agree2|identity_others|skills_others|control_others
10/8/23 19:48,10/8/23 19:52,0,107.128.230.3,100,241,1,10/8/23 19:52,R_3nIUIkYAJnqs447,,,,,32.8008,-96.7884,anonymous,EN,1,4,1,1,,,,2,4,,,,,,,,5,Mostly machine with a human element to fall back on. ,60,70,50,75,65,40,100,100,1,,3,,42,3,,1,26,20,A18UCBCCBKS6NY,385MDVINFCB1JDDY7W7QF5N0D6NWJ7,37UQDCYH6YRY6D9K6FIYFXV6XRWV7L,FL_53,,,scale_others|safety_others|safety_AV_2|trust_AV_2|trust_others,agree2|skills_others|identity_others|control_others
10/8/23 19:48,10/8/23 19:52,0,47.200.122.191,100,289,1,10/8/23 19:52,R_2S7aMuxn4RfSQ65,,,,,27.9247,-82.5105,anonymous,EN,1,4,1,1,,,,2,4,,,,,,,,6,I dont trust human judgement.,100,41,88,50,99,74,55,32,1,,5,,32,4,,1,14,11,A2QTL039A5VV3I,33QQ60S6ASEHP3N7QOIJFCN7TH6U0Z,3M0BCWMB8WSYNECF96ZA610GNQPBWX,FL_53,,,scale_others|trust_AV_2|trust_others|safety_AV_2|safety_others,agree2|skills_others|control_others|identity_others
10/8/23 19:48,10/8/23 19:53,0,71.86.149.198,100,293,1,10/8/23 19:53,R_2arGfO2RGVgraFh,,,,,38.8025,-90.3448,anonymous,EN,1,4,2,1,1,I like driving manually at all times.,100,2,4,100,72,100,10,89,100,100,,,,,,,,,,,1,,3,,38,1,,1,22,66,AA1OUUNY9HJD1,385MDVINFCB1JDDY7W7QF5N0D6NWJ7,3F6KKYWMNCX1FH1LV1ZT58BPXZXNDP,FL_51,scale_you|trust_AV_1|safety_you|safety_AV_1|trust_you,agree|control_you|skills_you|identity_you,,
